conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1885477693866811745,Fri Jan 31 23:58:16 +0000 2025,0,krn dia curiga ada udang dibalik si juyeon as model inilah pokoknya. Bawahannya juyeon terus2an nyoba buat bunuh yeeun tapi gagal terus. Nah baru muncul si 4 karakter lainnya tp gw bingung gimana kelanjutannya gitu. Pokoknya ada si anak pejabat (namanya hime alias jiwon),1885477733486256402,,juyeonmeledak,in, DNF DNSS bi 🏳️‍🌈,0,1,0,https://x.com/juyeonmeledak/status/1885477733486256402,1338291596874317824,juyeonmeledak
1885377557664600121,Fri Jan 31 23:42:15 +0000 2025,14,@tanyarlfes aku pun bakalan ngerasa bersalah dgn diri sendiri. krna ya buat apa aku bikin plan &amp; janji mau ngelakuin abcd meskipun konteksnya utk diri sendiri tp akhirnya malah aku ingkarin. km ga ngerasa bersalah kah menunda-nunda pekerjaan?,1885473699735990625,,mcfl0ury,in,INTJ,0,0,0,https://x.com/mcfl0ury/status/1885473699735990625,1211689543264419841,mcfl0ury
1885470804504437090,Fri Jan 31 23:30:49 +0000 2025,0,4. Dampak Kekurangan Adrenalin Kekurangan adrenalin dapat menyebabkan: - Depresi. - Mudah lelah. - Migrain. - Gula darah rendah.,1885470823143834021,,galasans,in,,0,1,0,https://x.com/galasans/status/1885470823143834021,182733677,galasans
1885470803027951825,Fri Jan 31 23:30:44 +0000 2025,0,Kadang pengen gw ledakin tapi takut ada yg nyiksa diri. Ntar gw gw juga yg merasa bersalah,1885470803027951825,,,in,Seven heaven,0,0,0,https://x.com/gadiskostan/status/1885470803027951825,1684763696906829824,gadiskostan
1885469950573211923,Fri Jan 31 23:27:21 +0000 2025,4,Rasa bersalah juga kalau jumpa mashayikh tak cuba kucup kepala mereka. Tapi sebab sedar diri pendek kan malu pula nak jengket.,1885469950573211923,,,in,,0,0,0,https://x.com/musaddad00/status/1885469950573211923,1783682310241505280,musaddad00
1885460016326730143,Fri Jan 31 23:23:14 +0000 2025,0,Intinya gak semua orang itu pola pikirnya sama kamu. Sebagian orang menjalani hidup secara tenang tanpa stres Bisa jadi kamu aja yang stres. Kamu gak ketemu orang yang bisa menghargai kamu. Karena apa? Kamu gak menghargai diri kamu sendiri.,1885468917801607438,,royyana1304971,in,,0,1,0,https://x.com/royyana1304971/status/1885468917801607438,1329190524897558530,royyana1304971
1885466528671535346,Fri Jan 31 23:13:45 +0000 2025,0,sedih + seneng bgt pacarku tuh ternyata setiap keluar main ngerasa bersalah karena ngga bisa bawa aku senengnya karena dia inget aku terus sedihnya karena takut dia jd ansos ngga mau bersosialisasi irl pls gua ngga mau dia malah kecanduan hp ngga liat orang orang irl dia..,1885466528671535346,,,in,,0,1,0,https://x.com/mwendesah/status/1885466528671535346,1497810968436699145,mwendesah
1885463035470586052,Fri Jan 31 22:59:52 +0000 2025,0,terlihat blackhawk yg sengaja menabak pesawat bunuh diri pilot heli,1885463035470586052,,,in,@anggiaparamesti's mind,0,0,0,https://x.com/yoeeed/status/1885463035470586052,136200243,yoeeed
1885462817673011674,Fri Jan 31 22:59:00 +0000 2025,1,lelah tetapi seolah enggan menyerah,1885462817673011674,,,in,,0,0,0,https://x.com/pesankematian29/status/1885462817673011674,1693889441801318400,pesankematian29
1885453726443577620,Fri Jan 31 22:32:55 +0000 2025,0,orang miskin kalo udah mentok direndahin mulu antara bunuh diri atau keluarga lo yg jahat itu yg bakal dimutilasi dijadiin sop,1885456253289455712,,taufikahmd,in,,0,0,0,https://x.com/taufikahmd/status/1885456253289455712,1520184806,taufikahmd
